id,primary_topic_openai,primary_subtopic_openai,confidence_openai,secondary_concepts_openai,reasoning_openai,primary_topic_claude,primary_subtopic_claude,confidence_claude,secondary_concepts_claude,reasoning_claude
88,Social,Crime,0.95,[],"This is a timeframe follow-up about unauthorized credit card use, a temporal detail for a crime/victimization event.",Social,Crime,0.95,[],"Question establishes temporal scope of credit card identity theft within the past 12 months, directly related to crime measurement."
89,Social,Crime,0.95,[],"This asks for the year and month of the most recent unauthorized credit card incident, which is a timing detail related to a crime/victimization event.",Social,Crime,0.9,[],"Question seeks specific timing of most recent credit card identity theft incident, providing temporal detail for crime victimization data."
90,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","The question concerns unauthorized use of email/social media accounts, which is a form of identity theft or cybercrime; it also directly involves online account possession and use.",Social,Crime,0.92,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","Questions directly address unauthorized account access and identity misuse, which are forms of cybercrime and fraud."
91,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","This asks about timing and types of online account misuse (email/social media), framing it as an incident of unauthorized use (crime) tied to online platforms.",Social,Crime,0.93,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","Asks about timing and frequency of email/social media account misuse within past 12 months, directly measuring crime victimization."
92,Social,Crime,0.9,"[{'topic': 'Economic', 'subtopic': 'E-Commerce'}, {'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","The item asks about unauthorized use of other existing accounts (many financial/online), which is identity theft/fraud (crime) and overlaps with online/financial account (e-commerce) issues.",Social,Crime,0.91,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","Questions unauthorized use of various existing accounts, which constitutes identity theft and fraud crimes."
93,Social,Crime,0.8,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","This is a timing follow-up asking whether the unauthorized account use occurred in the past 12 months, tied to previously asked identity-theft incidents (crime) and online accounts.",Social,Crime,0.9,[],"Temporal follow-up question establishing whether account misuse occurred in the past 12 months, measuring crime recency."
94,Social,Crime,0.85,"[{'topic': 'Economic', 'subtopic': 'E-Commerce'}, {'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","The question enumerates types of existing accounts (telephone, utilities, medical, online payments) that were misused, describing identity theft/fraud (crime) with clear financial/e-commerce and online-use aspects.",Social,Crime,0.91,"[{'topic': 'Economic', 'subtopic': 'Expenditures'}]","Asks about timing of unauthorized charges and misuse of various account types, measuring identity theft and fraud victimization."
95,Social,Crime,0.8,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","This asks for the date/month of the most recent misuse incident, which pertains to identity-theft events (crime) often involving online accounts.",Social,Crime,0.92,[],"Temporal follow-up establishing when most recent account misuse occurred, measuring crime timing."
96,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}, {'topic': 'Economic', 'subtopic': 'E-Commerce'}]",The question asks about unauthorized use of personal information to open new accounts—classic identity theft/fraud (crime)—and overlaps with online services and financial account creation.,Social,Crime,0.93,"[{'topic': 'Economic', 'subtopic': 'Income'}]","Questions unauthorized opening of new accounts using personal information, which is a primary form of identity theft crime."
97,Social,Crime,0.8,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","This is a timing follow-up about whether new-account identity theft occurred in the past 12 months, tied to criminal misuse of personal information and online account creation.",Social,Crime,0.91,[],"Temporal follow-up establishing whether new account fraud occurred in past 12 months, measuring crime recency."
98,Social,Crime,0.85,"[{'topic': 'Economic', 'subtopic': 'E-Commerce'}, {'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","The question lists specific types of new accounts fraudulently opened (bank, credit, email, loans, online payments), indicating identity-theft incidents (crime) with strong financial/e-commerce and online components.",Social,Crime,0.94,"[{'topic': 'Economic', 'subtopic': 'Income'}, {'topic': 'Economic', 'subtopic': 'Earnings'}]","Comprehensive list of new account types fraudulently opened using victim's personal information, directly measuring identity theft victimization across financial and service accounts."
99,Social,Crime,0.8,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","This asks respondents to recall the most recent time a new account was fraudulently opened, relating to identity-theft incidents (crime) typically involving online or financial accounts.",Social,Crime,0.9,[],"Asks about timing of most recent fraudulent account opening, measuring when identity theft crime occurred."
20,Economic,Commute/Commuting,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about mode of travel to school, which maps directly to commuting/transportation; it is also clearly situated in a school context.",Social,Schools,0.75,"[{'topic': 'Economic', 'subtopic': 'Commute/Commuting'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks about school transportation methods, which relates to school attendance patterns and commuting behavior for students."
21,Economic,Commute/Commuting,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Asking about how the respondent gets home from school concerns travel/commuting behavior, with an explicit school context.",Social,Schools,0.75,"[{'topic': 'Economic', 'subtopic': 'Commute/Commuting'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks about return transportation from school, which relates to school attendance patterns and commuting behavior for students."
22,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}]","This item asks about participation in school-sponsored activities/clubs, which pertains to school involvement and extracurricular participation.",Social,Schools,0.85,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Social', 'subtopic': 'Recreation'}]","Question asks about student participation in school-sponsored activities and clubs, which directly relates to school engagement and extracurricular involvement."
23,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}]",Open-ended follow-up about other school clubs/activities is directly about school participation and extracurricular involvement.,Social,Schools,0.85,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Social', 'subtopic': 'Recreation'}]","Question asks for details about other school clubs or activities, which is a follow-up to school engagement and extracurricular participation."
24,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}]","The question inventories school security measures (guards, detectors, cameras), which is a school safety/security topic; it also relates to crime prevention measures.",Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Government', 'subtopic': 'Police'}]","Question asks about school security measures and safety infrastructure, which directly relates to crime prevention and school safety."
25,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}]","A code of student conduct is a school policy governing behavior and discipline, relevant to school operations and safety/discipline issues.",Social,Crime,0.85,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Government', 'subtopic': 'Police'}]","Question asks about school code of conduct policies, which relates to school safety and crime prevention measures."
26,Social,Crime,0.85,"[{'topic': 'Social', 'subtopic': 'Schools'}]","This asks about anonymous reporting of threats, which is a threat/crime-reporting and safety mechanism; it is situated in the school context.",Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Government', 'subtopic': 'Police'}]","Question asks about mechanisms to report threats to school safety, which directly relates to crime reporting and school security."
27,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}]","Question addresses classroom disruption and its impact on schoolwork, a matter of school climate and educational environment.",Social,Crime,0.8,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks about student misbehavior and classroom disruption, which relates to school safety and crime/discipline issues."
28,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}]","Items ask about perceptions of school rules, enforcement, and teacher treatment—topics central to school climate and educational environment.",Social,Crime,0.85,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Government', 'subtopic': 'Police'}]","Question asks about perceptions of school rule fairness and enforcement, which relates to school safety, discipline, and crime prevention."
29,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}]",Questions about teacher/staff caring and listening pertain to school climate and student–teacher relationships within the educational setting.,Social,Schools,0.8,"[{'topic': 'Social', 'subtopic': 'Crime'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks about student relationships with teachers and staff, which relates to school environment and school safety climate."
