Question,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),Identity Theft Supplement (ITS),Supplemental Victimization Survey (SVS),National Survey of Children’s Health (NSCH),"National Survey of Children's Health Topical Questionaire (Children, 0-5 years)","National Survey of Children's Health Topical Questionaire (Chilren, 6-11)","National Survey of Children's Health Topical Questionaire (Children, 12-17)",National Sample Survey of Registered Nurses (NSSRN),National Teacher and Principal Survey (NTPS) School Questionnaire,National Teacher and Principal Survey (NTPS) Private School Questionnaire,National Teacher and Principal Survey (NTPS) Principal Questionnaire,National Teacher and Principal Survey (NTPS) Private School Principal Questionnaire,National Teacher and Principal Survey (NTPS) Teacher Questionnaire,National Teacher and Principal Survey (NTPS) Private School Teacher Questionnaire,Teacher Follow-up Survey (TFS) Former Teacher Survey,Teacher Follow-Up Survey (TFS) Current Teacher Survey,Principal Follow-up Survey (PFS),Principal Follow-Up Survey School Head/Principal Status Form,School Pulse Panel (SPP),Private School Survey (PSS),National Ambulatory Medical Care Survey (NAMCS),National Health Interview Survey (NHIS),"National Training, Education, and Workforce Survey (NTEWS)",National Survey of College Graduates (NSCG),American Time Use Survey (ATUS),Consumer Expenditure Survey (CE),American Community Survey (ACS),Survey of Income and Program Participation (SIPP),Household Trends and Outlook Pulse Survey (HTOPS),Current Population Survey (CPS),School Survey on Crime and Safety (SSOCS),Census Military Panel (CMP),American Housing Survey (AHS),Survey of Market Absorption (SOMA),Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,Food Acquisition and Purchase Survey (FoodAPS) Profile and Income Questionnaire,Food Acquisition and Purchase Survey (FoodAPS) Debriefing Questionnaire,FoodAPS food Log,Survey of State Government Finances Finances of Insurance Trust Systems,Report of Building or Zoning Permits issued for new privately-ownd housing units,Survey of Residential Building or Zoning Permit Systems,Business and Professional Classifcation Report,Business Enterprise Research and Development Survey,Medical Expenditure Panel Survey Insurance Component
Which person is your spouse?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
I previously recorded ^SPOUSENAME's ^spousesex. Is this correct?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Is ^SPOUSENAME male or female?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Does your spouse not live here because you and your spouse are legally separated?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Which person is your partner?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
I previously recorded ^PARTNERNAME's ^partnersex. Is this correct?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Is ^PARTNERNAME male or female?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Have you ever been married?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"What is your current legal marital status? Are you married, widowed, divorced, or separated?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Are you widowed, divorced, or separated?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Did you ever serve on active duty in the U.S. Armed Forces, military Reserves, or National Guard?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Were you on active duty ONLY for training in the Reserves or National Guard?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Did you ever serve in a foreign country during a time of armed conflict or on a humanitarian or peace-keeping mission?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Do you have a VA service-connected disability rating?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"During the past 12 months, did you receive any care at a Veteran's Health Administration facility or receive any other health care paid for by the VA?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Have you ever enrolled in or used VA health care?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Askverify_A Were you born in the United States or a U.S. territory?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
In what state or U.S. territory were you born?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
In what year did you come to the United States to stay,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Are you a citizen of the United States?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Were you born abroad to an American parent, born abroad and adopted by an American parent, or did you become a U.S. citizen by naturalization?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Do you speak a language other than English at home?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
What other language do you speak most often at home?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Enter language spoken most often at home.,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"When you watch television, read news online or in print, or listen to the radio, which language do you use most often?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"When you see a doctor or other health care professional, which language do you use most often?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"When you participate in social activities, such as visiting friends, attending clubs and meetings, or going to parties, which language do you use most often?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Are you currently enrolled in or attending school?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"During the past 12 months, about how many days of school did you miss because you had an illness, injury, or disability?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"LAST WEEK, did you work for pay at a job or business?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Did you have a job or business LAST WEEK, but were temporarily absent due to illness, vacation, family or maternity leave, or some other reason?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
What is the MAIN reason you were not working for pay at a job or business last week?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"When was the last time you worked for pay at a job or business, even if only for a few days?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
^Whenwork many hours do you USUALLY work in total at ALL jobs or businesses?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
^WhenworkDo you USUALLY work 35 hours or more per week in total at ALL jobs or businesses?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
^LASTJOB paid sick leave available if you ^workneed it?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
^LASTJOB health insurance offered to you through your workplace?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"During the past 12 months, about how many days of work did you miss because you had an illness, injury, or disability?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"During the past 30 days, did you provide regular care or assistance to a friend or family member who has a health problem or disability?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"During the past 12 months, did you spend any time volunteering for any organization or association?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Some people don't think of activities they do infrequently or for children's schools or youth organizations as volunteer activities. During the past 12 months, have you done any of these types of activities?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Does ^ALIASNAME work for pay at a job or business?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Does ^ALIASNAME usually work 35 hours or more per week in total at ^hishertheir job or jobs?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"In ^LASTYEAR, did ^YOUFAM18YRS receive income from wages, salaries, commissions, bonuses, tips, or self-employment?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"In ^LASTYEAR, did ^YOUFAMHERE receive income from interest-bearing accounts or investments, dividends from stocks or mutual funds, net rental income, royalty income, or income from estates and trusts?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"In ^LASTYEAR, did ^YOUFAMHERE receive... Income from Social Security or Railroad Retirement?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Supplemental Security Income, SSI, or Social Security Disability Income, SSDI, which are different from Social Security?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Was this Supplemental Security Income, SSI, Social Security Disability Income, SSDI, or both? Was this received as a disability benefit? In ^LASTYEAR, who received this disability benefit?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"In ^LASTYEAR, did ^YOUFAMHERE receive... Any public assistance or welfare payments from the state or local welfare office?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"In ^LASTYEAR, did ^YOUFAMHERE receive... Income from retirement, survivor, or disability pensions?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"In ^LASTYEAR, did ^YOUFAMHERE receive... Any other sources of income such as VA payments from the Veterans Benefits Administration, unemployment compensation, child support, or alimony?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"What is your best estimate of ^TOTALINCOME from all sources, before taxes, in ^LASTYEAR?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Was your total ^FAMILY income from all sources less than ^250POVERTY_A or ^250POVERTY_A or more?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Was your total ^FAMILY income from all sources less than ^138POVERTY_A or ^138POVERTY_A or more?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Was your total ^FAMILY income from all sources less than ^100POVERTY_A or ^100POVERTY_A or more?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Was your total ^FAMILY income from all sources less than ^200POVERTY_A or ^200POVERTY_A or more?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Was your total ^FAMILY income from all sources less than $75,000 or $75,000 or more?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Was your total ^FAMILY income from all sources less than $100,000 or $100,000 or more?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Was your total ^FAMILY income from all sources less than ^400POVERTY_A or ^400POVERTY_A or more?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Was your total ^FAMILY income from all sources less than $150,000 or $150,000 or more?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
At any time in the last 12 months did ^YOUFAMLVHERE_A receive ^FSSNAPNM?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"At any time in the last 12 months did ^YOUFAMLVHERE_A receive benefits from the WIC program, that is, the Women, Infants, and Children program?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"At any time in the last 12 months, did ^SCCHILDFAM_A receive free or reduced-price breakfasts or lunches at school?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
^HOUTEN owned or rented by you ^SOMEFAM_A?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"^HOUGVT paying lower rent because the Federal, State, or local government is paying part of the cost?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"During the past 12 months, did you attend a public meeting, such as a zoning or school board meeting, that discussed a local issue?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Did you vote in the LAST LOCAL elections, such as for mayor, councilmembers, or school board?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
What is your full name? Enter middle name. Enter last name.,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Is there at least one telephone INSIDE ^HOME that is currently working and is not a cell phone?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Do you have a working cell phone?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Do you live with anyone ^ATHOME who has a working cell phone?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Of all the telephone calls that you answer, are all or almost all on your cell phones, some on your cell phone and some on your home phone, or very few or none on your cell phones?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
What are the last four digits of your Social Security Number?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
What are the last four characters of your Medicare or Health Insurance Claim Number?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
May we try to link your survey data without a ^SSNMEDNUM?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
How are you contacting ^KNOAVAIL_C?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Before we continue, I have to ask: Are you currently driving a vehicle?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
A letter describing the National Health Interview Survey was sent to your home recently. Do you remember seeing the letter?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"There are a few things I need to cover before we continue. I'd like you to know that taking part in this survey is voluntary. You may choose not to answer any questions you don't wish to answer, or end the interview at any time without penalty. We are required by Federal law to develop and follow strict procedures to protect the confidentiality of your information and use your answers only for statistical research. I can describe these laws if you wish. Except for the National Center for Health Statistics and Census Bureau employees and specially designated agents, no one can see your answers until all information that could identify you and/or your family has been removed. Only after that will your data be made available to researchers. For most children, the survey will take less than ^SCTIME minutes. I'd like to continue now unless you have any questions.",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
I have recorded that you are knowledgeable about and responsible for ^SCNAME's health care. Is that correct?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
What is your relationship to ^SCNAME?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"To confirm, are you RESPONSIBLE FOR ^SCNAME's health care?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Does ^SCNAME live in on-campus housing or off-campus housing?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"I have recorded ^childvsex, ^AGE_C, ^NATORG_C, and ^RACE_C. Would you like to make any changes to this ^additionalinfo_C? What should I change?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Is ^SCNAME male or female?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
*Enter your best guess of ^SCNAME's sex,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
How old is ^SCNAME?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Enter number for age time period.,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Is ^SCNAME Hispanic or Latino?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"What race or races is ^SCNAME? Please select 1 or more of these categories: White, Black, African American, American Indian, Alaska Native, Native Hawaiian, Pacific Islander, Asian, or some other race?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"What is ^SCNAME's Hispanic or Latino ancestry or origin, such as Mexican, Mexican American, ^CHICANOA, Central or South American, Puerto Rican, Cuban, Dominican (Republic), or Other Hispanic, ^LATINOA, or Spanish -- and if ^SCNAME has more than one, tell me all of them.",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"What is ^SCNAME's Hispanic or Latino ancestry or origin? If ^SCNAME has more than one, tell me all of them.",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"What is ^SCNAME's Hispanic or Latino ancestry or origin? If ^SCNAME has more than one, tell me all of them.",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"What specific ethnic group or groups is ^SCNAME-- such as Guamanian or Chamorro, Samoan, or other Pacific Islander? If ^SCNAME is more than one, tell me all of them.",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"I have recorded that ^SCNAME is Pacific Islander. What specific ethnic group or groups is ^SCNAME? If ^SCNAME is more than one, tell me all of them.",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"I have recorded that ^SCNAME is Asian. What specific ethnic group or groups is ^SCNAME-- such as Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese, or Other Asian? If ^SCNAME is more than one, tell me all of them.",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"What is ^SCNAME's specific Asian ethnic group or groups? If ^SCNAME has more than one, tell me all of them.",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"What is ^SCNAME's specific Asian ethnic group or groups? If ^SCNAME has more than one, tell me all of them",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
What other race or races is ^SCNAME?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
What other race or races is ^SCNAME?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
What is ^SCNAME's date of birth? Enter day of birth. Enter year of birth.,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Would you say ^SCNAME's health in general is excellent, very good, good, fair, or poor?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Has a doctor or other health professional EVER told you that ^SCNAME had asthma?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Does ^SCNAME still have asthma?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"During the past 12 months, has ^SCNAME had an episode of asthma or an asthma attack?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"During the past 12 months, did ^SCNAME have to visit an emergency room or urgent care center because of ^hisher_C asthma?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Has a doctor or other health professional EVER told you that ^SCNAME had prediabetes or borderline diabetes?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
^NOTPRED a doctor or other health professional EVER told you that ^SCNAME had diabetes?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Has a doctor or other health professional ever told you that ^SCNAME had AttentionDeficit/Hyperactivity Disorder or ADHD or Attention-Deficit Disorder o,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Does ^SCNAME currently have Attention-Deficit/Hyperactivity Disorder or ADHD or AttentionDeficit Disorder or ADD?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Has a doctor or other health professional ever told you that ^SCNAME had an intellectual disability, previously known as mental retardation?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Does ^SCNAME currently have Attention-Deficit/Hyperactivity Disorder or ADHD or AttentionDeficit Disorder or ADD?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Does ^SCNAME currently have an intellectual disability, previously known as mental retardation?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Has a doctor or other health professional ever told you that ^SCNAME had Autism, Asperger's disorder, pervasive developmental disorder, or autism spectrum disorder?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Does ^SCNAME currently have Autism, Asperger's disorder, pervasive developmental disorder, or autism spectrum disorder?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
^NOTEVER a doctor or other health professional ever told you that ^SCNAME had any other developmental delay?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Does ^SCNAME still have this other developmental delay?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Has a representative from a school or a health professional ever told you that ^SCNAME had a learning disability?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Does ^SCNAME currently have a learning disability?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Does ^SCNAME wear glasses ^CONTACTS?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"^GLASSCONTACT ^SCNAME have difficulty seeing? Would you say ^SCNAME has: no difficulty, some difficulty, a lot of difficulty, or ^heshe_C cannot do this at all?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Does ^SCNAME use a hearing aid?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"^USEHRAID_C ^SCNAME have difficulty hearing sounds like people's voices or music? Would you say ^SCNAME has: no difficulty, some difficulty, a lot of difficulty, or ^heshe_C cannot do this at all?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Does ^SCNAME use any equipment or receive assistance for walking?,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Without using ^hisher_C equipment or assistance, does ^SCNAME have difficulty walking? Would you say ^SCNAME has: no difficulty, some difficulty, a lot of difficulty, or ^heshe_C cannot do this at all?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"When using ^hisher_C equipment or assistance, does ^SCNAME have difficulty walking? *Read if necessary: Would you say ^SCNAME has: no difficulty, some difficulty, a lot of difficulty, or ^heshe_C cannot do this at all?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
"Compared with children of the same age, does ^SCNAME have difficulty walking? Would you say ^SCNAME has: no difficulty, some difficulty, a lot of difficulty, or ^heshe_C cannot do this at all?",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
